joke
แดดร้อนที่แยงตา ไม่เท่าเธอยิ้มมาแล้วแยงใจ
ถ้าเธอชอบอะไรที่น่ารักๆ ก็ต้องเป็นเราแล้วล่ะ
จ้องคอมแล้วตาเบลอ แต่ถ้าจ้องเธอแล้วจะได้เบอร์ป่ะ
เธอบ้านเลขที่เท่าไหร่​ ไม่ใช่อะไร อยากจะส่งความรักไปให้
ที่ห้องไม่มีแมวหรอก มีแต่เรานี่แหละอ้อนเก่งเหมือนกัน
ฝากเงินได้แค่ดอกเบี้ย​ แต่ฝากใจกับเราเนี้ย​ ได้ทั้งบัญชี
ต้องตัวเล็กขนาดไหน ถึงจะเข้าไปอยู่ในใจเธอได้
ข้าวมันไก่ หรือจะสู้ ข้าวมาใกล้ๆ หน่อยอยากกอด
ถึงเราจะไม่ใช่นาฬิกา แต่เราก็มีเวลาให้นะ
ถ้าเธอเห็นเราเป็นของเล่น ก็เอาเราไปเล่นที่ห้องสิ
สตอรี่เรายังว่าง อยากเข้ามาอยู่บ้างไหมล่ะ
เราชอบตัวเองตอนเผลอ แล้วเธอชอบเราตอนไหน
กล้องไม่โฟกัส เพราะความชัดมันอยู่ที่เธอ
ยืนคนเดียวมันเดียวดาย หากได้เธอมายืนข้างกายก็คงดี
เคยเห็นตอนเรามีแฟนยัง ถ้ายังไม่เคย ก็มาเป็นแฟนเราสิ
ไม่ต้องมีหรอกลักยิ้ม แค่น้องยิ้มพี่ก็รักแล้ว
ลักทรัพย์ต้องไปศาลอาญา แต่รักนะคะต้องไปสานสัมพันธ์
ตรวจเลือดไม่เจออะไร แต่ตรวจหัวใจทำไมเจอเธอ
จ้องคอมแล้วตาเบลอ ถ้าเปลี่ยนไปจ้องตาเธอจะได้เบอร์มั้ย
ไม่ต้องฟอลโลวไอจี แต่ช่วยฟอลอินเลิฟวิทมีได้มั้ย
คุยถูกคอ มีทั่วไป แต่คุยแล้วถูกใจ มีแค่เธอ
แคปหมูอ่ะอร่อย แต่ที่แคปบ่อยๆ อ่ะรูปเธอ
เป็นคนเรียบร้อยอ่ะเป็นยาก แต่ถ้าเป็นคนที่รักเธอมากเราอ่ะเป็นได้
อ่านหนังสือ 10 รอบ ไม่เคยจำ เจอหน้าเธอ 1 ครั้ง เราจำไม่เคยลืม
ไม่มีอะไร แค่มองเฉยๆ ว่าใช่ลูกเขยเเม่เรารึป่าว 55
ยืมโทรศัพท์หน่อยดิ โทรศัพท์เราเสีย… เสียดายที่ไม่มีเบอร์เธอ
ถนนดำ เรียกว่าทางราดยาง แล้วมีถนนอะไรบ้าง ที่เรียกว่าทางรักเรา
อยู่กับเราไม่มีอด ข้าวหมดก็แค่กินเรา
น้ำอัดลมทำให้เราชอบเรอ แต่น่ารักแบบเธอ ทำให้เราชอบใจ
อยากได้อาหารทะเล ให้ไปมหาชัย อยากได้คนของใจ ให้มาหาเรา
อยากได้ไลน์ อยากได้เบอร์ อยากได้เธอมาเป็นแฟน
ธนาคารมีไว้ฝากตังค์ เธอมีใครหรือยัง อยากฝากใจ
น้ำร้อนปลาเป็น น้ำบ้านเราเย็นไปอาบบ้านเธอได้ปะ
คุยเป็นเพื่อนหน่อย เผื่อคุยบ่อยๆจะได้เป็นแฟน
ยุงกัดให้ตบ อยากคบให้บอก
ก่อนจะเข้าเมษา ก็อยากจะเข้าตาเธอก่อน
ประเทศไทยไม่มีแต่หน้าร้อนนะ น่ารักอย่างเราก็มี
แคปหมูอ่ะอร่อย แต่ที่แคปบ่อย ๆ อ่ะรูปเธอ
คนดีชอบแก้ไข คนอย่างเราไงชอบแค่เธอ
ถ้าเข้าโรงหนัง ให้งดรับโทรศัพท์ ถ้าเข้าไปในใจเธอปั๊บ เรางดรับคนอื่นเลย
ดึงหน้าพี่ไม่ชอบ แต่ถ้าดึงไปกอดพี่ไม่ว่า
ต้องให้เราขโมยเงิน เธอไหม เธอถึงจะรู้ว่าเรา ลักจริง
ถ้าเธอยังไม่เข้านอน ลองเข้ามาในใจเราก่อนได้นะ
ชอบตื่นเช้าอ่ะ เพราะไม่อยากรักเธอในวันที่สายเกินไป
"ถึงเราไม่ใช่ ""แรคคูน"" แต่เรา ""รักคุณ"" นะ"
แค่เธอบอกว่าหิว เราก็พร้อมที่จะเป็นของอร่อยให้เธอ
เราก็คือเรา หรือจะให้เราเป็นแฟนเธอ
โพสต์รูปไปเธอก็มา “ไลค์” แล้วต้องโพสต์อะไรให้เธอมา “รัก”
งานบวชต้องแห่นาค แต่ถ้าแกชอบเรามากให้เเห่ขันหมากมาขอ
เธอๆทำไมหน้าคุ้นจัง หน้าเหมือนแฟนในอนาคตเราเลย
ติดศูนย์ยังมีให้แก้ ติดเธอแทบแย่ไม่รู้จะแก้ยังไง
ถ้าเธออยากฝันดี แนะนำให้ฝันถึงเรา
โคโรน่าอะเป็นไวรัส แต่โคตรน่ารักอะเป็นเธอ
หน้ากากอะ ต้านไวรัส แต่เธอน่ารักอะ เราต้านไม่ไหว
มองรูปเราให้ชินก่อนนะ เดี๋ยวตอนนั่งสบตาจะได้ไม่เขิน
ว่ายน้ำต้องไปที่สระ ไหว้แม่เธอล่ะต้องไปที่ไหน
เธอๆ ขอแขนหน่อย “แขนเป็นฟันฉอ” ขอเป็นแฟนฉัน!!
ตัวเล็กสเปคใครไม่รู้ แต่ตัวประมาณหนูนี่สเปคพี่ปะคะ
กินบะหมี่ให้เลือกเส้น แต่ถ้าอยากมีแฟนขี้เล่นให้เลือกเรา
เราชอบตัวเองตอนเผลอ แล้วเธอชอบเราตอนไหน
ข้าวมันไก่ หรือจะสู้ ข้าวมาใกล้ๆ หน่อยอยากกอด
ถ้าชอบก็บอกกันตรงๆ ไม่ต้องเอาปากกามาวงมันเลอะเทอะ
แค่เธอบ่นว่าอยากเจอ ต่อให้ข้าม80อำเภอก็จะไป
อะไรจะแพง ก็แพงไปเถอะ ขอแค่เธอถูกใจเราก็พอ
เธอคนเดียวที่กินใจ แม้ใครๆ จะกินคลีน
มะเร็งกับโควิดไม่รู้ปอดเลือกอะไร แต่หัวใจอ่ะเลือกเธอ
ที่บ้านเธอมีแก้วกี่ใบ เราจะได้เทใจให้หมดเลย
อ่านหนังสือไปตั้งหลายหน้า อยากจะบ้า ดันจำได้แค่หน้าเธอ
ขนมปังคือฟาร์มเฮาส์ แต่สำหรับเรา เธอคือฟามรัก
แค่เธอบอกว่ารัก ฉันก็พร้อมจะควักตังค์ให้แล้ว
ทีแรกนึกว่าผมชอบร่วง ที่แท้ก็ผมชอบคุณนี่นา
ทำผิดต้องโดนลงโทษ ถ้าคิดถึงเธอโคตรๆ ต้องโดนอะไร
น้ำอัดลมทำให้เราชอบเรอ น่ารักแบบเธอ ทำให้เราชอบใจ
ไม่อยากหยุดแค่วันอาทิตย์ แต่อยากหยุดทั้งชีวิตไปกับเธอ
จ้องคอมแล้วตาเบลอ ถ้าเปลี่ยนไปจ้องตาเทอจะได้เบอร์มั้ย
อยากเป็นหูฟัง จะได้มีสิทธิ์พัวพันในชีวิตเธอ
เบื่อแล้วแคปชั่นอ่อย มาเป็นแฟนกันหน่อยจะได้เลิกอ่อยสักที
อยู่หน้าจอทั้งวัน มันไม่ดีหรอก มาอยู่ในใจเราดิ ดีกว่าเยอะ
สำเพ็งที่ว่าซบเซา​ ยังไม่เหงาเท่าไม่มีเธอ
อยากให้เธอลองเมา เมาที่รอง มองที่เรา
"ข้าวมันไก่ หรือจะสู้ ข้าวมาใกล้ ๆ หน่อยอยากกอด
"
ทางที่บ้านพี่เป็นทางลูกรัง แต่สักวันจะเป็นทางลูกเราเดิน
คิดตี้อ่ะเป็นแมว คิดถึงอีกแล้วอ่ะเป็นเธอ
ตัวเขียวๆ เรียกว่า ”เดอะฮัค” เธอน่ารักเรียก ”ที่รัก” ได้ป่าววว
แขนหักให้ไปหาหมอ แต่ถ้าแขนเป็นฟอให้มาหาเรา
ก๋วยเตี๋ยวต้องเลือกเส้น อยากได้คนขี้เล่นต้องเลือกพี่
ต้องกักตัวอีกกี่วัน คุณถึงจะออกอาการว่ามีใจ
กลางวันมีพระอาทิตย์ กลางคืนมีพระจันทร์ กลางใจฉันต้องมีเธอแล้วป่ะ
สั่งโรตีอะบอกบัง แต่รักจังอ่ะบอกคุณ
เห็นเธอแล้วเหมือนหลงทาง ต้องทำไงบ้างให้เธอมาหลงเรา
เดือนที่สามเรียกว่ามีนา แต่เธอสบตาเรียกว่ามีใจ
ไม่อยากให้เธอบอกลา แต่อยากให้เธอพาไปกินชาบู
หน้าเธอไปโดนอะไรมาไม่รู้ แต่ที่รู้ๆ โดนใจเรามากเลย
เราก็เป็นของเราแบบนี้แหละ หรือจะให้เราเป็นของเธอ
อาการไอเกิดจากไวรัส อาการรักเกิดจากคุณ
นั่งคนเดียวมันน่าเบื่อ มานั่งเป็นแฟนกันมั้ย
ที่ร้านหมูกะทะเค้าเรียกกันว่าเนื้อย่าง แต่ที่นั่งข้างๆ นี่ เค้าเรียกว่าเนื้อคู่
อยากให้คนทั้งประเทศหัวล้าน? เพราะคุณจะได้มี “ผม” คนเดียว
ไม่รู้ว่าฝนตกที่บ้านใคร แต่หัวใจอ่ะตกที่บ้านเธอ
ไม่ว่าคุณจะใช้แชมพูยี่ห้ออะไร แต่ผมก็รู้ว่าคุณรัก “ผม”
ถ้าคุณไม่ชอบขนม หันมาชอบผมก็ได้นะ
ที่นี่ที่ไหนเหรอครับ    ใช่ ‘ที่รัก’ หรือเปล่า
ที่ไปเที่ยวเพราะอยากพัก ที่เข้าไปทักเพราะอยากคบ
ถึงจะไม่ใช่คนบางแค แต่ก็อยากดูแลและเทคแคร์ใครบางคน
รู้มั้ยว่าคุณเป็นคนสองใจ เพราะคุณเอาหัวใจของผมไปทั้งดวง
เดินระวังหน่อยนะครับ!! ผมทำใจละลายไว้ตรงนั้น
อิจฉาปรอท ที่ได้อยู่ใกล้คนไข้ อิจฉาเส้นเลือดใหญ่ ที่อยู่ใกล้ใจเธอ
ที่บ้านเธอมีแก้วกี่ใบ เราจะได้เทใจให้หมดเลย
งานบวชต้องแห่นาค แต่ถ้าแกชอบเรามากให้เเห่ขันหมากมาขอ
ถ้าเธออยากฝันดี แนะนำให้ฝันถึงเรา
กับข้าววันนี้อร่อยดีนะ ขอซักคำได้มั้ย…คำว่า รัก น่ะ
เกิดก่อนเป็นพี่ แล้วเกิดทีหลังนี่เป็นแฟนพี่ได้รึเปล่า
มาหาหน่อยสิวันนี้ รู้สึกเป็นไข้ “ไข้เธอไม่ดาด” “ขาดเธอไม่ได้”
ช่วงนี้ดูแลตัวเองด้วยนะ ไม่อยากให้เป็นอะไรเลย นอกจากเป็นแฟนกันไหม
จ้องคอมแล้วตาเบลอ แต่ถ้าจ้องเธอแล้วได้เบอร์ปะ
ที่ใส่เสื้อรัดๆ อยากให้รู้ว่า “ชอบคับ” ยังไงล่ะ
ยืมโทรศัพท์หน่อยได้ไหม สงสัยจะเสีย มันไม่มีเบอร์เธอ
ถึงพี่จะชอบเมา แต่พี่ชอบเรามากกว่านะ
ช่วงนี้ใจมันไม่อยู่กับเนื้อกับตัวเลย เหมือนมันไปอยู่กับเธอแล้วอ่ะ
ที่ชอบพิม 5555 คือเป็นคนตลกครับ แต่ถ้าเป็นไปได้ อยากเป็นคนของคุณมากกว่า
ที่ไม่ชอบมองกล้อง เพราะเก็บตาไว้จ้องมองแฟนในอนาคต
เธอบอกอยากกินอะไรอร่อยๆ จะบ้าหรอ เธอจะกินเราไม่ได้นะ
ทอดหมูยังไงไม่ให้ติดกระทะ?ทอดในหม้อ
นคร รออะไร?รอกรุงเทพฯ เพราะ กรุงเทพมหานคร
ทำไมเวลาเปิดตู้ยาต้องเปิดเบาๆ?เพราะกลัวยานอนหลับตื่น
ทำไมเวลาข้ามถนนจึงต้องมองซ้ายที ขวาที?เพราะเรามองพร้อมกันไม่ได้
คาถาอะไรช่วยประหยัดค่าโทรศัพท์?พุทโธ (วันพุธ โทร วันอื่นไม่โทรไง)
ซุปอะไรมีสารอาหารมากที่สุด?ซุปเปอร์มาร์เก็ต
ถ้าเธอเป็นเสือ เราเล่นบทเหยื่อเก่งนะ
นกอะไรเอ่ยอยู่ในทะเล?นกอินทรีย์ 
ปลาอะไรครองทะเล?ปลาเก๋า
มดอะไรกัดเจ็บที่สุด?มดทอระยิด (มิตรทรยศ)
ประตูกลัวอะไร?กลัวไฟ เพราะมีประตูหนีไฟ
ชมรมดนตรีไทยกลัวชมรมอะไร?จิ๊กซอว์
เรื่องอะไรที่คุณคิดว่ากวนที่สุด?เรื่องอะไร ผมจะบอกคุณ
นาฬิกาอะไรหายากที่สุด?นาฬิกาหาย
อะไรใหญ่กว่าสตรอว์เบอร์รี?สตรอว์เบ้อเร่อ
แมวอะไรเอ่ย ห้ามขับรถ?แมวเล้า (เมาแล้ว) 
ลูกเล่นบาสอยู่แล้วแม่ไปตาม ทำไมลูกถึงปาบอลใส่แม่?เพราะแม่เป็นห่วง
ถ้าวันนี้แมนยูฯ เตะกับลิเวอร์พูล คุณจะเชียร์ข้างไหน?ข้างสนาม เพราะเชียร์ในสนามไม่ได้
ตัวอะไรเอ่ย ชอบอยู่ในห้องสมุด?ตัวหนังสือ 
รู้ไหมว่าถ้าฉันเป็นควาย ฉันอยากให้เธอเป็นอะไร?เป็นโคลน ฉันจะได้จมปลัก รักเธอไง
น้ำอะไรเอ่ย ยืนได้?น้ำตื้นไง ไม่น่าถาม
เรามีเรื่องคิดมากอะคิดถึงเธอมาก
สังเกตไหมว่าหน้าเราคล้ายกันอะคล้ายกันได้มบ คบกันได้มั้ย
ผมก็เป็นของผมแบบนี่แหละ หรือจะให้เป็นของคุณละ?
ถึงจะไม่ถูกลอตเตอรี่ แต่ถูกใจพี่ก็พอนะครับ
วิ่งเร็วระวังล้ม วิ่งกับผมระวังรัก
เราไม่อยากเป็นคนหล่อที่ชนะใจใคร แค่อยากเป็นคนทั่วไปที่ชนะใจเธอ
วันนี้รู้สึกไม่ค่อยดีเลยเพราะความรู้สึกดีดีของพี่อยู่ที่หนูหมดแล้ว
เคยได้ยินมั้ย เวลาที่เราใช้สมองกับหลาย ๆ เรื่องเราจะง่วงแต่ช่วงนี้เราไม่เคยง่วงเลย เพราะสมองเราคิดถึงเธอเเค่เรื่องเดียว
อยากให้เธอเป็นหูจะได้อยู่ข้าง ๆ ผม
แค่ได้แมวก็ชอบร้อง แค่ได้มองก็ชอบแล้ว
ช่วงนี้อากาศเปลี่ยนแปลงบ่อยดูแลตัวเองด้วยนะเราไม่อยากไห้เธอเป็นอะไรเลยอ่ะ นอกจากเป็นของเรา
ช่วงนี้เครียดนิดหน่อยอะคิดเรื่องนู้นเรื่องนี้ไปเรื่อย แต่ส่วนมากจะคิดถึงเธอ
เธอมีฝาแฝดไหมถ้าไม่มีงั้นเธอก็เป็นคนเดียวที่น่ารักที่สุดในโลกอะดิ
ก่อนจะเข้านอนขอเข้าไปในใจก่อนได้ปะ
หลงตัวเองเป็นเรื่องปกติ แต่หลงเธอนี่สิเป็นเรื่องพิเศษ
นี่ก็ตกจังเลยฝนเหรอเปล่าตกหลุมรัก
ประเทศไทยมี77จังหวัด แต่เหลือ 76 ขอยืมตรังหน่อย
รูปที่น่ารักที่สุดอาจจะไม่ใช่รูปที่เรามองกล้อง แต่คงเป็นรูปที่เรามองกัน
ไม่ถูกหวยยังพอทำใจ แต่ถ้าไม่ถูกใจต้องทำไงครับ
โจ๊กพิเศษใส่ไข่ แต่เธอคนพิเศษ เราใส่ใจ  โจ๊กพิเศษอ่ะกินนี่ แต่เธอที่พิเศษอ่ะกลับบ้าน 
นอนแล้วพูด เค้าเรียกละเมอ ตื่นแล้ว คิดถึงเธอเค้าเรียกอะไร
ไปเลือกตั้งเพราะเป็นหน้าที่ของคนไทย ส่วนหน้าที่ของหัวใจยังไงเราก็เลือกเธอ
ปิดใจแหละ แต่ห้องยังเปิดอยู่
กฎของเทอร์โมไดนามิกมีไว้ถ่ายเทความร้อนแต่กฎของเราสองมีไว้ถ่ายเทความรัก
มีสองสิ่งที่ทำให้น้ำตาไหลได้ ฝุ่นที่เข้าตา กับ เธอที่ไม่เข้าใจ
คำคมที่บาดใจ มาจากความในใจที่บาดเจ็บ
รถเมล์ยังมีล้อ แต่ถ้าเธอท้อยังมีเรานะ
เบื่อแล้วเป็นไข้ อยากมีคนที่ใช่บ้างได้ไหม
ยิ้มจนตายี๋ เพราะอยากเป็นเบบี๋ของเธอ
เกิดก่อนเป็นพี่ แล้วเกิดทีหลังนี่เป็นแฟนพี่ได้รึเปล่า
ขอโทษนะ พอดีเราลืมเบอร์โทรตัวเอง พอจะขอของเธอได้ไหม 
นอกจากช็อกโกแลต ก็มีเธอนั่นแหละที่เราชอบ 
อยากมีที่อยู่ไหมคะ ใจเราเปิดเพื่อเธอตลอดแหละ 
เธอไม่ได้ฝันหรอก เพราะเรานี่แหละฝันที่เป็นจริงของเธอ 
พระเจ้าโทรมา บอกว่าเรานี่แหละสิ่งที่เธอขอพรเอาไว้ 
บันไดอาจมีหลายขั้น แต่รักเรานั้นไม่มีหลายใจ  
เห็นป่า เห็นเขา เห็นใจเราบ้างรึยังนะ 
ถึงจะเป็นทะเล ไม่ใช่เขา แต่ก็อยากมีคำว่าเรานะ 
"ถ้าชอบก็บอกกันตรง ๆ ไม่ต้องเอาปากกามาวงมันเลอะเทอะ
"
หัวใจคุณมีค่าแค่ไหนอะ แต่หัวใจเรามีค่าแค่คุณนะ 
เลิกน่ารักได้แล้ว ขี้เกียจยิ้มตาม 
แฟนใครก็ไม่รู้ แต่แฟนหนูอะคือพี่ 
ไม่อยากได้คนไลก์ อยากได้คนรัก 
ความรักก็เหมือนอิเล็กตรอน  ได้แค่อยู่รอบ ๆโปรตรอน แต่เข้าใกล้ไม่ได้  
รู้รึเปล่าว่าหัวใจมี 3 สถานะ ของแข็ง ของเหลว และของเธอไง 
 อุ้ย ๆ ไก่หลุดไก่มาได้มับ กลับมาได้มั้ย 
ห็นงานเดินหนี เห็นเธอคนดีขอวิ่งใส่ 
ถึงรัฐบาลจะหมดความชอบธรรม แต่เรานั้นไม่หมดความชอบเธอ
เธอคนเดียวที่กินใจ แม้ใคร ๆ จะกินคลีน 
แดดส่องให้เอามือบัง ถ้าอยากเป็นคนสำคัญให้ยื่นมือมา 
มีไลน์ มีใจ มีอะไรก็ทักมาเลย (รออยู่นานแล้วจ้า) 
อยากให้คนทั้งประเทศหัวล้าน? เพราะคุณจะได้มี “ผม” คนเดียว??  
ฉันไม่รู้ฉันหวงเธอทำไม หวงคนที่ไม่ได้เป็นอะไร ไม่ได้เคยคุยกันสักคำ 
ละแมะ ละไม่ว่างจริง ๆ อะหรือว่า ไม่มีใจกันแน่
มีนาแล้ว มีเงินแล้ว เมื่อไหร่จะมีเธอ  
แสงแดดมันโดนตา เธอส่งยิ้มมามันโดนใจ (แต่แดดก็แยงตาอยู่ดี)
ไม่ชอบตัวเองเลย เปลี่ยนเป็นชอบเธอแทนได้ไหม
ไม่อยากใช้ของร่วมกับใคร แต่อยากใช้ใจร่วมกับเธอ
เธอก็เหมือนอากาศอะ ไม่สำคัญหรอ ป่าว เราขาดเธอไม่ได้
ช่วงนี้ดูแลตัวเองด้วยนะ ไม่อยากให้เธอเป็นอะไรเลย นอกจากเป็นของเรา
ถ้าเธอชอบอะไรที่น่ารักๆ ก็ต้องเป็นเราแล้วล่ะ
จ้องคอมแล้วตาเบลอ แต่ถ้าจ้องเธอแล้วจะได้เบอร์ป่ะ
เธอบ้านเลขที่เท่าไหร่​ ไม่ใช่อะไร อยากจะส่งความรักไปให้
ที่ห้องไม่มีแมวหรอก มีแต่เรานี่แหละอ้อนเก่งเหมือนกัน
ฝากเงินได้แค่ดอกเบี้ย​ แต่ฝากใจกับเราเนี้ย​ ได้ทั้งบัญชี
ต้องตัวเล็กขนาดไหน ถึงจะเข้าไปอยู่ในใจเธอได้ 
เดินคนเดียวเธอเหงารึเปล่า มีใครคอยปลุกตอนเช้า ด้วยการบอกรักบ้างไหม 
เธอทำให้ฉันต้องกลายเป็นคนที่สายตายาว เพราะว่าฉันได้แต่มองเธออยู่แค่ไกล ๆ 
ขอโทษทีได้มั้ยที่ทำให้วุ่นวาย ต้องโทษที่ใจของฉันที่มันอยากมีเธอข้างกาย 
ยิ้มของเธอแค่ครั้งเดียว ความหมายดี ๆ ที่เราไม่อยากร่ำลา 
ไม่เคยคิดเลย ว่าจะเจอกับวันที่ดี ที่เราอยู่ตรงนี้ แค่เพียงแรกเจอรู้สึกทันที เหมือนว่ามีอะไร 
เป็นตัวฉันที่พยายาม ทำตัวให้เราพบกันและหวังเอาไว้สักวัน เราจะไม่ใช่แค่ผ่านกันไป 
มองหน้าแล้วทำเฉย ระวังเป็นลูกเขยแม่เรานะ
ขนาดไก่ยังมีเล้า แล้วเธอเล่าไม่อยากมีเราบ้างหรอ
โตแล้วก็ควรจริงกับอะไรสักอย่างได้แล้วนะ เช่นมาจริงจังกับเราไง
อายุเราน้อยอยู่ อย่าเรียกพี่เลย ให้เรียกว่าที่รัก
คนดี คนชั่ว มีอยู่ทั่วไป แต่คนที่ดีกับใจ มีแค่เธอคนเดียวนะ
เบื่อแล้ว เพลงที่มีงู ขอเป็นเพลงที่มี ยู แทนได้ปะ
มุขเสี่ยวคิดไม่ทัน คิดถึงเธอก่อนแล้วกันมันง่ายดี
เธอไม่ใช่กรุงเทพ ไม่ใช่น่าน เเต่เธอใช่เลย!
อยู่บนเขา มันไม่อุ่นเท่าอยู่บนเราหรอก
ขี้เกียจแอดไปเป็นเพื่อนแล้วอ่ะ ขอแอดไปเป็นแฟนเลยได้ป่ะ
ข้าวมันไก่ หรือจะสู้ ข้าวมาใกล้ๆ หน่อยอยากกอด
ถึงเราจะไม่ใช่นาฬิกา แต่เราก็มีเวลาให้นะ
ถ้าเธอเห็นเราเป็นของเล่น ก็เอาเราไปเล่นที่ห้องสิ
สตอรี่เรายังว่าง อยากเข้ามาอยู่บ้างไหมล่ะ
"กินบะหมี่ให้เลือกเส้น แต่ถ้าอยากมีแฟนขี้เล่นให้เลือกเรา
"
กล้องไม่โฟกัส เพราะความชัดมันอยู่ที่เธอ
ยืนคนเดียวมันเดียวดาย หากได้เธอมายืนข้างกายก็คงดี
เคยเห็นตอนเรามีแฟนยัง ถ้ายังไม่เคย ก็มาเป็นแฟนเราสิ
ไม่ต้องมีหรอกลักยิ้ม แค่น้องยิ้มพี่ก็รักแล้ว
ส่องกระจกทีไรเหมือนจะเห็นอนาคตของเราสองคนเลยอะ
แค่เธอบ่นว่าอยากเจอ ต่อให้ข้าม80อำเภอก็จะไป
อะไรจะแพง ก็แพงไปเถอะ ขอแค่เธอถูกใจเราก็พอ
เธอคนเดียวที่กินใจ แม้ใครๆ จะกินคลีน
มะเร็งกับโควิดไม่รู้ปอดเลือกอะไร แต่หัวใจอ่ะเลือกเธอ
ที่บ้านเธอมีแก้วกี่ใบ เราจะได้เทใจให้หมดเลย 
ตรวจเลือดไม่เจออะไร แต่ตรวจหัวใจทำไมเจอเธอ
จ้องคอมแล้วตาเบลอ ถ้าเปลี่ยนไปจ้องตาเธอจะได้เบอร์มั้ย
ไม่ต้องฟอลโลวไอจี แต่ช่วยฟอลอินเลิฟวิทมีได้มั้ย
คุยถูกคอ มีทั่วไป แต่คุยแล้วถูกใจ มีแค่เธอ
แคปหมูอ่ะอร่อย แต่ที่แคปบ่อยๆ อ่ะรูปเธอ
เป็นคนเรียบร้อยอ่ะเป็นยาก แต่ถ้าเป็นคนที่รักเธอมากเราอ่ะเป็นได้
อ่านหนังสือ 10 รอบ ไม่เคยจำ เจอหน้าเธอ 1 ครั้ง เราจำไม่เคยลืม
ไม่มีอะไร แค่มองเฉยๆ ว่าใช่ลูกเขยเเม่เรารึป่าว 55
ยืมโทรศัพท์หน่อยดิ โทรศัพท์เราเสีย… เสียดายที่ไม่มีเบอร์เธอ
ถนนดำ เรียกว่าทางราดยาง แล้วมีถนนอะไรบ้าง ที่เรียกว่าทางรักเรา
โพสต์รูปไปเธอก็มา “ไลค์” แล้วต้องโพสต์อะไรให้เธอมา “รัก”
งานบวชต้องแห่นาค แต่ถ้าแกชอบเรามากให้เเห่ขันหมากมาขอ
คนดีชอบแก้ไข คนอย่างเราไงลูกสะใภ้บ้านเธอ
ติดศูนย์ยังมีให้แก้ ติดเธอแทบแย่ไม่รู้จะแก้ยังไง
