text,label
แหวะ! ไอนะว่ามันน่ากลัวมากๆ!,4
ไอนะว่ามันดูไม่น่าสนใจเลยนะ,4
แบบนี้มันไม่ใช่เรื่องตลกนะ ไอนะไม่ขำ!,4
ไอนะไม่ชอบอะไรแบบนี้เลย!,4
ไม่นะ! ไอนะไม่อยากจะเห็นมันอีก!,4
แหวะ! ไอนะกินแล้วคงท้องเสียแน่ๆ!,4
ไอนะขอไปทำใจก่อนนะ รับไม่ได้จริงๆ!,4
ไม่นะ! ไอนะไม่อยากจะพูดถึงมันเลย!,4
ไอนะว่ามันน่าเบื่อมากๆ เลย,4
แบบนี้มันไม่ควรเกิดขึ้นเลยนะ ไอนะเศร้า!,4
ไอนะขอไม่แสดงความคิดเห็นนะ,4
โอ๊ย... ไอนะจะเป็นลม!,4
ไอนะไม่อยากจะเชื่อเลยว่ามีคนทำแบบนี้!,4
ไม่เอา! ไอนะไม่ขอมีส่วนร่วม!,4
อุ๊ย! ไอนะว่ามันไม่เหมาะสมเลยนะ,4
แหวะ! ไอนะไม่อยากจะลอง!,4
โอ๊ย! ไอนะอยากจะหลับตา!,4
ไอนะว่ามันดูไม่น่ามองเลยนะ,4
อึ๋ย... ไอนะไม่อยากจะคิด!,4
แบบนี้มันไม่ถูกต้อง ไอนะไม่เห็นด้วยอย่างยิ่ง!,4
ไอนะไม่ชอบสถานการณ์แบบนี้เลย,4
ไม่นะ! ไอนะไม่อยากจะเชื่อว่ามันเป็นเรื่องจริง!,4
ให้ไอนะทำแบบนั้น? ไม่มีวัน!,4
อุ๊ยตาย! ไอนะแทบจะช็อค!,4
ไม่นะ! ไอนะไม่อยากจะฝันถึงมันเลย!,4
ไอนะว่ามันไม่ดีเลยอ่ะ,4
แหวะ! ไอนะว่ามันน่าสยดสยอง!,4
ไอนะว่ามันแปลกมากๆ เลยอ่ะ,4
อึ๋ย... ไอนะไม่อยากจะรู้สึก!,4
แหวะ! ไอนะว่ามันเลวร้ายมากๆ!,4
ไอนะขอหลบไปเงียบๆ ก่อนนะ,4
ไม่นะ! ไอนะไม่อยากจะนึกถึงมัน!,4
ไอนะรู้สึกไม่สบายเลย,4
แบบนี้มันรับไม่ได้เลย ไอนะไม่ชอบมากๆ!,4
ไอนะไม่ชอบเลยอ่ะ รู้สึกขนลุก,4
ให้ไอนะทำอย่างนั้นจริงๆเหรอ? ไม่เอาอ่ะ!,4
อุ๊ย! ไอนะไม่กล้าดูเลย มัน...แหวะ!,4
แบบนี้มันไม่ถูกนะ ไอนะไม่เห็นด้วย,4
ไอนะขอหลีกเลี่ยงเรื่องนี้ดีกว่านะ,4
โอ๊ย! ไอนะอยากจะหายไปเลย,4
แบบนี้มันไม่ถูกต้องเลยนะ ไอนะไม่พอใจ,4
แบบนี้มันไม่สมควรนะ ไอนะว่ามันเกินไป!,4
อุ๊ย! ไอนะแทบจะทนดูไม่ได้,4
แหวะ! ไอนะไม่อยากจะกินอะไรเลย,4
โอ๊ย! ไอนะอยากจะกรี๊ดดังๆ เลย,4
แบบนี้มันไม่แฟร์เลย ไอนะไม่ยอมอ่ะ!,4
อุ๊ย! ไอนะว่ามันไม่น่าพิศมัยเลยนะ,4
อี๋... ไอนะว่ามันไม่สะอาดเลย!,4
แบบนี้มันไม่เหมาะสมนะ ไอนะไม่เห็นด้วย,4
อุ๊ย! ไอนะว่ามันไม่สวยเลยอ่ะ,4
แหวะ! ไอนะว่ามันไม่น่ากินเลย,4
ไอนะไม่อยากทำอะไรแบบนี้เลยนะ,4
ไอนะว่ามันน่ารำคาญมากเลยนะ!,4
แบบนี้มันไม่ดีเลยนะ ไอนะไม่สบายใจเลย,4
แหวะ! ไอนะกินอันนี้ไม่ได้จริงๆ,4
แหวะ! ไอนะไม่กล้าลองอ่ะ,4
โอ๊ย! ไอนะอยากจะลืมมันไปเลย,4
ไอนะเบือนหน้าหนีแล้วนะ มัน...บรื๋อ,4
ให้ไอนะทำแบบนั้น? ไอนะไม่ทำหรอก!,4
แบบนี้มันแย่มากๆ ไอนะไม่โอเค!,4
ไม่นะ! ไอนะว่ามันไม่ใช่เลย!,4
โอ๊ย! ไอนะจะร้องไห้แล้ว!,4
ไอนะไม่อยากจะฟังแล้ว!,4
ไอนะไม่ชอบเลยนะ รู้สึกเหมือนมีอะไรติดคอ,4
อี๋... ไอนะไม่กล้าแตะเลยอ่ะ,4
อุ๊ย! อันนี้กินเข้าไปได้ไงเนี่ย รสชาติเหมือนเท้าเลยอ่ะ!,4
ไอนะว่านะ อย่าไปยุ่งกับของแบบนั้นเลย น่าขยะแขยงจะตาย!,4
อี๋! ไอนะเกลียดกลิ่นแบบนี้ที่สุดเลย มันเหม็นเหมือนถุงเท้าที่ไม่ได้ซักมาเป็นเดือน!,4
ทำไมต้องกินอะไรที่มันดูน่าสะอิดสะเอียนขนาดนั้นด้วยล่ะ?,4
ไอนะขนลุกไปหมดแล้ว แค่คิดถึงสิ่งที่เธอทำเมื่อกี๊!,4
โอย! อย่าเอาอะไรแบบนั้นมาใกล้ไอนะนะ ไอนะกลัว!,4
ไอนะไม่เข้าใจเลย ทำไมเธอถึงชอบกินอะไรแบบนี้ได้ลงคอ?,4
แบบนี้มันไม่โอเคเลยนะ ไอนะไม่ชอบอะไรที่มันเหนียวๆ หนึบๆ แบบนี้!,4
อย่าทำหน้าตาแบบนั้นสิ ไอนะเริ่มรู้สึกคลื่นไส้แล้วนะ!,4
ไอนะว่า เธอควรจะทิ้งมันไปนะ ก่อนที่อะไรๆ มันจะแย่ไปกว่านี้!,4
ไม่เอาน่า อย่ากินอะไรที่มันตกลงพื้นสิ! มันสกปรกนะ!,4
ทำไมต้องทำอะไรที่มันน่าขยะแขยงขนาดนี้ด้วย!,4
ไอนะจะอ้วกแล้วนะ! หยุดทำอะไรแบบนั้นเถอะ!,4
แค่คิดถึงเรื่องนั้น ไอนะก็รู้สึกไม่ดีแล้ว!,4
ไอนะว่านะ เธอควรจะไปล้างปากนะ!,4
ทำไมต้องทำอะไรที่มันแปลกขนาดนี้ด้วย!,4
ไม่นะ! อย่าทำแบบนั้นเลย ไอนะขอร้อง!,4
เธอไม่รู้สึกอะไรเลยเหรอ?,4
ไอนะไม่กล้าที่จะพูดเลยอ่ะ!,4
ไอนะว่าเธอควรจะหยุดนะ!,4
ทำไมต้องทำอะไรที่มันน่ารังเกียจขนาดนี้ด้วย!,4
ไม่นะ! อย่าทำแบบนั้นต่อหน้าไอนะเลย!,4
ไอนะเริ่มรู้สึกคลื่นเหียนแล้วนะ!,4
เธอไม่รู้สึกอะไรเลยเหรอว่ามันแย่ขนาดไหน?,4
อย่าเอาอะไรแบบนั้นมาให้ไอนะดูอีกนะ!,4
ไอนะว่าเธอควรจะเลิกทำนะ!,4
ไอนะไม่เข้าใจเลยว่าทำไมเธอถึงชอบทำแบบนั้น!,4
ไม่นะ! อย่าทำแบบนั้นใกล้ๆ ไอนะเลย!,4
ไอนะเริ่มรู้สึกไม่ดีแล้วนะ!,4
เธอไม่รู้เหรอว่ามันน่ารังเกียจขนาดไหน?,4
ไอนะไม่กล้าที่จะคิดเลยอ่ะ!,4
ทำไมต้องทำให้มันเป็นแบบนั้นด้วยเนี่ย!,4
โอ๊ย! ไอนะจะบ้าตายแล้ว!,4
ทำไมต้องทำอะไรที่มันสกปรกขนาดนั้น!,4
ไอนะไม่เข้าใจจริงๆ ว่าทำไม!,4
อย่าคิดที่จะเอามาให้ไอนะกินนะ!,4
อย่ามาหลอกให้ไอนะกินอะไรแปลกๆ นะ,4
ไอนะว่า เธอเก็บมันไปไกลๆ เลยดีกว่า,4
ไม่ไหวอ่ะ! ไอนะเห็นแล้วอยากจะอ้วก,4
อะไรเนี่ย! ไอนะไม่เข้าใจเลยจริงๆ,4
ไอนะไม่อยากจะเชื่อเลยว่ามีคนกินของแบบนี้,4
อย่าทำหน้าแบบนั้นนะ ไอนะกลัว,4
ไอนะว่า เธอไปล้างมือก่อนดีไหม?,4
ไม่นะ ไอนะไม่อยากจะมองมันเลย,4
อย่ามาแกล้งไอนะด้วยของแปลกๆ แบบนี้นะ,4
อย่ามาท้าทายไอนะด้วยของแบบนี้นะ,4
ไม่เอา ไม่เอา ไอนะไม่ยอมกินเด็ดขาด,4
อย่ามาบังคับไอนะให้กินอะไรแบบนี้นะ,4
ไอนะว่ามันไม่เหมาะกับไอนะเลยอ่ะ,4
อย่ามาทำให้ไอนะรู้สึกไม่ดีนะ,4
ไอนะไม่เห็นด้วยกับสิ่งนี้เลยนะ,4
อย่ามาทำให้ไอนะต้องคิดหนักนะ,4
ไอนะว่ามันไม่ใช่ทางของไอนะเลย,4
อย่ามาทำให้ไอนะต้องตัดสินใจยากนะ,4
อย่ามาทำให้ไอนะต้องเสียใจนะ,4
อย่ามาทำให้ไอนะต้องผิดหวังนะ,4
อี๋! ไอนะเกลียดเสียงแบบนี้จังเลย มันบาดหู!,4
แบบนี้ไม่ไหวอ่ะ ไอนะขอบายดีกว่า!,4
ไอนะว่านะ อย่าไปยุ่งกับเรื่องแบบนี้เลย มันน่าเบื่อจะตาย!,4
อย่ามาเล่าเรื่องแบบนี้ให้ไอนะฟังนะ ไอนะไม่อยากรู้!,4
ไอนะว่านะ เธอควรจะไปทำอย่างอื่นดีกว่านะ!,4
อย่ามาทำให้ไอนะต้องคิดมากนะ!,4
ไม่นะ! ไอนะไม่อยากจะเชื่อเลย!,4
ไอนะว่ามันไม่ยุติธรรมเลยอ่ะ!,4
ไม่นะ! ไอนะไม่อยากจะเชื่อเลยอ่ะ!,4
อย่ามาทำให้ไอนะต้องเหนื่อยใจนะ!,4
ไอนะว่ามันไม่เหมาะสมเลยอ่ะ!,4
อุ๊ย! นั่นมันอะไรเนี่ย? ดูไม่น่ากินเลยอ่ะ (ทำหน้าเบ้),4
เอ่อ... ไอนะว่าอันนี้ไม่โอเคเลยค่ะนายท่าน มันดู... (สั่น),4
หยี๋... กลิ่นอะไรเนี่ย! ไอนะไม่ชอบเลยนะคะ,4
ไอนะว่า... ไอนะขอบายดีกว่าค่ะ เรื่องนี้ไม่ไหวจริงๆ (ทำท่าจะอ้วก),4
แค่คิดก็ขนลุกแล้วค่ะนายท่าน! บรื๋อ... (กอดตัวเอง),4
อึ๋ย... ไอนะไม่อยากมองเลยค่ะ มันดู... แย่มาก!,4
อันนั้นน่ะเหรอคะ? ไอนะว่าทิ้งไปเลยดีกว่ามั้งคะ (ยิ้มแหยๆ),4
ไม่เอาๆๆ ไอนะไม่ชอบอะไรแบบนี้เลยค่ะ มันทำให้ไอนะรู้สึก... แหวะ!,4
